# Species	Genes	Alg.-Conn.	GCF_000001405.39_GRCh38.p13_protein.faa	GCF_000002285.3_CanFam3.1_protein.faa	GCF_000181335.3_Felis_catus_9.0_protein.faa	GCF_000464555.1_PanTig1.0_protein.faa	GCF_003709585.1_Aci_jub_2_protein.faa
5	5	0.0496	NP_001012677.1	XP_013971944.1	XP_011287946.1	XP_015400273.1	XP_026917757.1
5	5	0.0579	XP_024303245.1	XP_022279578.1	XP_023098457.1	XP_007090727.2	XP_026890849.1
5	5	0.065	NP_848643.2	XP_013974721.1	XP_019692200.2	XP_007092587.1	XP_026914005.1
5	5	0.0872	XP_011517632.1	XP_022261033.1	XP_023112312.1	XP_007092838.1	XP_014934378.1
5	5	0.10300000000000001	NP_001362583.1	XP_005638052.1	XP_019678242.2	XP_015396762.1	XP_026898602.1
5	5	0.124	NP_005240.3	XP_013971151.1	XP_019689349.2	XP_015400149.1	XP_026921315.1
5	5	0.161	NP_004878.3	XP_005626617.1	XP_011280502.2	XP_007078012.1	XP_014943122.2
5	5	0.0972	NP_001121895.1	XP_003434854.1	XP_003998902.2	XP_007087394.1	XP_026898993.1
5	5	0.14800000000000002	NP_000529.1	XP_005635647.1	XP_011285942.2	XP_007097789.1	XP_014926455.2
5	5	0.141	NP_005316.1	XP_545380.1	XP_023109352.1	XP_007074549.1	XP_026895919.1
5	5	0.153	NP_877572.1	XP_005616973.1	XP_003988279.1	XP_007092848.1	XP_014934388.1
5	5	0.146	NP_877573.1	XP_005616977.1	XP_003988284.1	XP_007092849.1	XP_014934389.1
5	5	0.17300000000000001	NP_002783.1	XP_013962772.1	XP_023106813.1	XP_007087159.2	XP_026902355.1
5	5	0.11900000000000001	NP_065135.2	XP_013977926.1	XP_023095476.1	XP_015392468.1	XP_026895450.1
5	5	0.11699999999999999	NP_064532.1	XP_853894.1	XP_023110870.1	XP_007084728.1	XP_026923471.1
5	5	0.122	XP_016881635.1	NP_001091021.1	XP_023101709.1	XP_007086667.1	XP_026893487.1
5	5	0.11199999999999999	NP_003006.2	XP_543955.3	XP_023096575.1	XP_007080207.1	XP_026918576.1
5	5	0.184	NP_001193941.1	XP_022277935.1	XP_003987890.1	XP_015398928.1	XP_014927120.1
5	5	0.141	NP_056166.1	XP_547886.3	XP_023111560.1	XP_007095388.1	XP_026921857.1
5	5	0.14800000000000002	NP_002448.4	XP_022261221.1	XP_023095529.1	XP_015398474.1	XP_026907192.1
5	5	0.066	NP_001244238.1	XP_013971970.1	XP_006940458.3	XP_007087765.1	XP_014924089.1
5	5	0.14300000000000002	NP_002223.3	XP_003434878.2	XP_019694655.2	XP_007076527.1	XP_014931243.2
5	5	0.182	NP_001311194.1	XP_022275745.1	XP_006942334.1	XP_007087372.1	XP_026898958.1
5	5	0.154	NP_005698.1	XP_022268236.1	XP_023110965.1	XP_007084717.1	XP_014943616.2
5	5	0.0967	NP_006513.1	XP_005640724.1	XP_023115452.1	XP_007086277.1	XP_026906225.1
5	5	0.172	NP_001722.1	XP_003432031.1	XP_023113062.1	XP_007085739.1	XP_026926913.1
5	5	0.138	NP_000164.5	NP_001003083.1	XP_023099193.1	XP_015397316.1	XP_014924864.2
5	5	0.14300000000000002	NP_001017921.1	XP_003639788.1	XP_003981764.1	XP_007099493.1	XP_026904905.1
5	5	0.294	NP_000217.2	XP_022279661.1	XP_003996986.3	XP_007087705.1	XP_014925071.2
5	5	0.16399999999999998	NP_006389.2	XP_013966029.1	XP_023110405.1	XP_007099132.1	XP_026907705.1
5	5	0.0828	NP_004934.1	XP_022280534.1	XP_023101682.1	XP_007095449.1	XP_026893633.1
5	5	0.0983	NP_005469.2	XP_022275136.1	XP_023114563.1	XP_015396442.1	XP_026914729.1
5	5	0.11599999999999999	NP_006227.1	XP_013972920.2	XP_023107317.1	XP_007085000.1	XP_026926093.1
5	5	0.122	NP_002036.1	XP_535747.1	NP_001009303.1	XP_015400419.1	XP_014941819.1
5	5	0.0658	NP_002143.1	XP_005616385.1	XP_023101758.1	XP_007074214.1	XP_014942636.2
5	5	0.15	NP_001291298.1	XP_534464.3	XP_023106694.1	XP_015395209.1	XP_026902516.1
5	5	0.0947	NP_001129121.1	NP_001129118.1	XP_011279547.3	XP_015393067.1	XP_026908467.1
5	5	0.114	NP_976048.1	XP_005641561.1	XP_023105076.1	XP_007089274.1	XP_026909416.1
5	5	0.16899999999999998	NP_076963.1	XP_005642514.2	XP_006944409.2	XP_007085488.1	XP_026920263.1
5	5	0.0628	NP_001156408.1	XP_005642099.1	XP_006944199.1	XP_007096713.1	XP_026908979.1
5	5	0.109	NP_689608.2	XP_005634478.1	XP_023116331.1	XP_007087505.1	XP_026917650.1
5	5	0.0921	NP_003815.1	XP_022260832.1	XP_011285402.1	XP_015398427.1	XP_026901608.1
5	5	0.22399999999999998	NP_787069.4	XP_005626584.1	XP_023110822.1	XP_015395530.1	XP_026932523.1
5	5	0.36	NP_001227.1	XP_544873.3	XP_003991491.1	XP_015396680.1	XP_014918640.1
5	5	0.24	NP_078987.3	XP_022260014.1	XP_006929558.2	XP_015395448.1	XP_026907008.1
5	5	0.13699999999999998	NP_001342502.1	XP_005625059.2	XP_023099779.1	XP_015391868.1	XP_026890483.1
5	5	0.23	NP_036569.1	XP_547578.1	XP_011289572.1	XP_007088011.2	XP_014940982.1
5	5	0.207	NP_001243.1	XP_542136.3	XP_003981821.2	XP_015399558.1	XP_026905153.1
5	5	0.212	NP_001137452.1	XP_022276392.1	XP_019676793.2	XP_015400480.1	XP_026898762.1
5	5	0.29	NP_689579.3	XP_022271029.1	XP_003999693.3	XP_015397923.1	XP_026904379.1
5	5	0.306	NP_001164291.2	XP_005631390.1	XP_019668560.2	XP_007092662.1	XP_026900897.1
5	5	0.23600000000000002	NP_039229.3	XP_003640204.1	XP_003988946.1	XP_015392711.1	XP_014936464.1
5	5	0.292	NP_777597.2	XP_013964618.2	XP_023096884.1	XP_007079793.1	XP_026919220.1
5	5	0.23	NP_660315.2	XP_005625053.1	XP_003996641.1	XP_015399226.1	XP_026890164.1
5	5	0.196	NP_277051.4	XP_005626669.1	XP_006944402.2	XP_007099172.2	XP_014938953.2
5	5	0.294	NP_612361.1	XP_005633264.1	XP_023102016.1	XP_007098201.1	XP_026906001.1
5	5	0.341	NP_001073980.2	XP_013975272.1	XP_006929511.2	XP_007082711.1	XP_026931570.1
5	5	0.22399999999999998	NP_000352.1	NP_001006954.1	XP_006930061.2	XP_007096675.1	XP_014942114.2
5	5	0.166	NP_002247.3	XP_013966762.1	XP_023103226.1	XP_015394953.1	XP_026930891.1
5	5	0.245	NP_078847.2	XP_854401.1	XP_006942598.1	XP_007096718.1	XP_026899594.1
5	5	0.168	NP_150593.1	XP_022267068.1	XP_006933830.1	XP_007081494.1	XP_014936466.1
5	5	0.436	NP_573568.1	XP_542175.2	XP_023099492.1	XP_007075291.1	XP_026905023.1
5	5	0.557	NP_653198.2	XP_545872.4	XP_023110624.1	XP_007078331.1	XP_026923994.1
5	5	0.20600000000000002	NP_071430.2	XP_005639874.1	XP_011284332.1	XP_007083635.1	XP_014919838.1
5	5	0.19899999999999998	NP_006643.1	XP_013962786.1	XP_019683681.1	XP_007077879.1	XP_026926006.1
5	5	0.34	NP_001005188.1	XP_013968690.2	XP_019668480.1	XP_007091266.1	XP_026892186.1
5	5	0.56	NP_004081.1	XP_013971954.1	XP_023099342.1	XP_007093906.1	XP_026904627.1
5	5	0.48100000000000004	NP_075378.1	XP_022263061.1	XP_023103598.1	XP_007088729.2	XP_026894268.1
5	5	0.35100000000000003	NP_443082.2	XP_533898.2	XP_023101823.1	XP_007098248.1	XP_026905864.1
5	5	0.53	NP_001019846.1	XP_005635000.1	XP_023106689.1	XP_007073709.1	XP_026925672.1
5	5	0.414	NP_776248.1	XP_005623984.2	XP_023111765.1	XP_007095346.1	XP_026922341.1
5	5	0.447	NP_001073990.2	XP_854417.2	XP_011285029.3	XP_007083365.1	XP_026928906.1
5	5	0.20600000000000002	NP_543141.3	XP_005632532.1	XP_011277709.3	XP_007082057.1	XP_026894669.1
5	5	0.523	NP_060336.3	XP_022268001.1	XP_003999945.1	XP_007080432.1	XP_026920162.1
5	5	0.462	NP_055851.1	XP_005633400.2	XP_023095091.1	XP_007079101.1	XP_026895861.1
5	5	0.392	NP_000587.1	XP_005629556.1	XP_023105910.1	XP_007073558.1	XP_026901811.1
5	5	0.415	NP_001004726.1	XP_540729.2	XP_003993338.1	XP_007082237.1	XP_014929466.1
5	5	0.512	NP_116238.3	XP_013962818.1	XP_023106262.1	XP_015395720.1	XP_026920435.1
5	5	0.324	NP_000951.1	XP_541544.2	XP_006941150.2	XP_007074301.1	XP_026893669.1
5	5	0.363	NP_005966.1	XP_022264756.1	XP_011279093.1	XP_015395217.1	XP_014926315.1
5	5	0.542	NP_003170.1	XP_022272111.1	XP_011290004.1	XP_015399223.1	XP_026909695.1
5	5	0.46399999999999997	NP_071429.1	XP_851935.2	XP_023096284.1	XP_015399076.1	XP_026917979.1
5	5	0.447	NP_054705.1	XP_022278654.1	XP_023099574.1	XP_007093848.1	XP_014926998.1
5	5	0.483	NP_872359.1	XP_003432365.1	XP_023095850.1	XP_015397421.1	XP_026901659.1
5	5	0.301	NP_787071.3	XP_022260971.1	XP_023101675.1	XP_007099146.1	XP_026893632.1
5	5	0.45399999999999996	NP_001004311.2	XP_022280033.1	XP_023107521.1	XP_015393501.1	XP_026928060.1
5	5	0.45299999999999996	NP_612379.2	XP_854378.1	XP_023107697.1	XP_015393121.1	XP_026889433.1
5	5	0.526	NP_055316.2	NP_001273893.1	XP_019674664.2	XP_015392367.1	XP_026893188.1
5	5	0.442	NP_001314.1	XP_540840.2	XP_003993776.1	XP_015397422.1	XP_026901307.1
5	5	0.564	NP_004594.1	XP_005621021.1	XP_023102796.1	XP_015393579.1	XP_026897742.1
5	5	0.469	NP_055108.2	XP_022280010.1	XP_023113550.1	XP_015391835.1	XP_026927361.1
5	5	0.395	NP_061759.1	XP_013963228.1	XP_011280894.1	XP_015391128.1	XP_026908763.1
5	5	0.348	NP_001186135.1	XP_022263705.1	XP_023094755.1	XP_007079093.1	XP_026895463.1
5	5	0.281	NP_077275.1	XP_022263113.1	XP_003983360.1	XP_007087077.1	XP_026902407.1
5	5	0.408	NP_001358001.1	NP_001183969.1	XP_004000487.3	XP_015392786.1	XP_026909747.1
5	5	0.26899999999999996	NP_005416.1	NP_001013436.1	XP_003998914.1	XP_007076930.1	XP_026899076.1
5	5	0.406	NP_001010987.1	XP_013968181.1	XP_006937789.2	XP_015391759.1	XP_014934542.1
5	5	0.47200000000000003	NP_149419.2	XP_003433069.1	XP_011284954.1	XP_015397583.1	XP_014917671.2
5	5	0.272	NP_149024.1	XP_005618095.1	XP_003981290.1	XP_015398387.1	XP_014928491.1
5	5	0.483	NP_001824.1	XP_003639440.1	XP_003995672.1	XP_015390486.1	XP_014934926.2
5	5	0.415	NP_006825.1	XP_022280399.1	XP_003986676.1	XP_007086951.1	XP_026912491.1
5	5	0.445	NP_722578.1	XP_003639387.1	XP_023107333.1	XP_007097934.1	XP_026925112.1
5	5	0.353	NP_277048.2	XP_855240.2	XP_023098199.1	XP_007075808.1	XP_026904919.1
5	5	0.317	NP_689851.1	XP_022283389.1	XP_023113061.1	XP_007085738.1	XP_026926915.1
5	5	0.535	NP_001094299.1	XP_852315.1	XP_003985850.2	XP_015390152.1	XP_026896093.1
5	5	0.35	NP_997198.2	XP_022260430.1	XP_023107918.1	XP_007098263.2	XP_026933608.1
5	5	0.43	NP_001010893.1	XP_013964672.1	XP_003999985.5	XP_007073870.1	XP_014936159.1
5	5	0.687	NP_937770.1	XP_005617817.1	XP_003989733.1	XP_007078217.1	XP_014930621.1
5	5	0.642	NP_998821.3	XP_548124.2	XP_019673410.1	XP_007085934.1	XP_014943222.2
5	5	0.779	NP_000242.1	XP_538482.2	XP_023107431.1	XP_007084767.1	XP_014930194.1
5	5	0.795	NP_005932.2	XP_544165.3	XP_004000005.1	XP_007084386.1	XP_014930226.1
5	5	0.669	NP_001073909.1	XP_022269922.1	XP_023094334.1	XP_007086300.1	XP_026916653.1
5	5	0.7959999999999999	NP_001471.2	XP_541048.2	XP_011286426.1	XP_007084819.1	XP_026925008.1
5	5	0.532	NP_067009.1	XP_022273086.1	NP_001009260.1	XP_007086110.1	XP_014940949.2
5	5	0.777	NP_001288218.1	XP_865148.1	XP_011281217.1	XP_007084545.1	XP_026923218.1
5	5	0.785	NP_055141.2	XP_022268368.1	XP_019687832.1	XP_007084563.1	XP_014941039.1
5	5	0.7709999999999999	XP_016877867.1	XP_022268209.1	XP_023110952.1	XP_007084582.1	XP_026923353.1
5	5	0.8140000000000001	NP_006787.2	XP_547682.2	XP_023097501.1	XP_007085973.1	XP_026924241.1
5	5	0.943	NP_787103.1	XP_005615363.1	XP_023097877.1	XP_007084797.1	XP_026924990.1
5	5	0.789	NP_079323.1	XP_005639924.1	XP_003991993.1	XP_007086313.1	XP_014921479.1
5	5	0.7759999999999999	NP_005172.1	NP_001138644.1	XP_003999994.1	XP_007084378.1	XP_014935960.2
5	5	0.778	NP_001274.1	XP_003434784.1	XP_003998576.1	XP_007073969.1	XP_014941996.1
5	5	0.772	NP_005904.1	XP_005615457.1	XP_019669930.1	XP_007085941.1	XP_026925061.1
5	5	0.865	NP_002499.2	XP_546076.2	XP_003993948.1	XP_007086124.1	XP_026902790.1
5	5	0.782	NP_055551.1	XP_005638567.2	XP_003987091.1	XP_007084570.1	XP_014941046.1
5	5	0.8059999999999999	NP_055580.1	XP_003434490.1	XP_003993953.1	XP_007086122.1	XP_026902813.1
5	5	0.7759999999999999	NP_001012.1	NP_001003099.1	XP_003986833.1	XP_007078336.1	XP_026923979.1
5	5	0.767	NP_054890.1	XP_851904.1	XP_003984010.1	XP_007084775.1	XP_014930201.1
