# Species	Genes	Alg.-Conn.	GCF_000001405.39_GRCh38.p13_protein.faa	GCF_000002285.3_CanFam3.1_protein.faa	GCF_000181335.3_Felis_catus_9.0_protein.faa	GCF_000464555.1_PanTig1.0_protein.faa	GCF_003709585.1_Aci_jub_2_protein.faa
2	10	0.1	NP_001306936.1,XP_011536545.1,XP_016874710.1,XP_016874711.1,XP_016874712.1,XP_016874713.1,XP_016874714.1,XP_016874715.1,XP_016874716.1	XP_013964205.1	*	*	*
3	28	0.106	NP_001310581.1,NP_001310593.1,NP_001310592.1,NP_001310591.1,NP_001310590.1,NP_001310589.1,NP_001310588.1,NP_001310587.1,NP_001310586.1,NP_001310585.1,NP_001310584.1,NP_001310583.1,NP_001310582.1,NP_001310567.1,NP_001310580.1,NP_001310579.1,NP_001310578.1,NP_001310577.1,NP_001310576.1,NP_001310575.1,NP_001310574.1,NP_001310573.1,NP_001310572.1,NP_001310571.1,NP_001310570.1	XP_022262681.1	XP_019689719.1,XP_019689720.1	*	*
2	17	0.118	NP_001317156.1,NP_001339591.1,NP_001339594.1,NP_001339595.1,NP_001339596.1,NP_001339600.1,XP_016873315.1,XP_016873317.1,XP_024304316.1,XP_024304317.1,XP_024304318.1,XP_024304319.1,XP_024304320.1,XP_024304321.1,XP_024304322.1	XP_022263607.1,XP_022263608.1	*	*	*
2	17	0.116	XP_005266882.1,XP_005266883.1,XP_006715407.1,XP_006715408.1,XP_011533763.1,XP_011533764.1,XP_011533768.1,XP_011533770.1,XP_011533771.1,XP_016865764.1,XP_016865765.1,XP_016865766.1,XP_016865767.1,XP_016865768.1,XP_016865769.1	XP_022274423.1,XP_022274425.1	*	*	*
2	9	0.111	NP_001355931.1,NP_001355932.1,NP_001355933.1,NP_001355934.1,NP_001357598.1,NP_001357599.1,NP_001357602.1,XP_011516240.1	*	*	*	XP_026895082.1
2	9	0.111	NP_001337058.1,NP_001337059.1,NP_001337060.1,NP_001352329.1,NP_001352330.1,XP_016857055.1,XP_016857056.1,XP_024303635.1	XP_022271127.1	*	*	*
2	9	0.111	NP_001364192.1,XP_011543309.1,XP_011543311.1,XP_016873164.1,XP_024304275.1,XP_024304276.1,XP_024304277.1,XP_024304278.1	XP_022263404.1	*	*	*
2	9	0.107	NP_001136235.1,NP_001136236.1,NP_001136238.1,NP_001136239.1,NP_001136240.1,NP_001136245.1,NP_001341333.1,NP_149045.3	*	*	*	XP_026905730.1
2	9	0.106	*	XP_013962029.1,XP_013962031.1,XP_013962032.1,XP_013962033.1,XP_022264330.1,XP_022264331.1,XP_022264332.1,XP_022264333.1	*	*	XP_026917661.1
2	9	0.111	NP_001243084.2	XP_013967088.1,XP_013967089.1,XP_013967090.1,XP_013967091.1,XP_022271233.1,XP_022271234.1,XP_022271235.1,XP_022271236.1	*	*	*
2	9	0.111	NP_940935.1	XP_005633068.1,XP_005633069.1,XP_013977811.1,XP_013977812.1,XP_013977813.1,XP_022262886.1,XP_022262887.1,XP_022262888.1	*	*	*
2	9	0.108	*	*	*	XP_015396803.1	XP_026906137.1,XP_026906138.1,XP_026906139.1,XP_026906141.1,XP_026906142.1,XP_026906143.1,XP_026906144.1,XP_026906145.1
2	9	0.111	NP_001287836.1,NP_001356357.1,NP_001356358.1,NP_001356359.1,NP_001356360.1,NP_001356361.1,NP_001356362.1,XP_016873367.1	XP_013976633.1	*	*	*
2	9	0.106	NP_001316354.1	XP_005622170.1,XP_005628200.1,XP_013970266.1,XP_022276096.1,XP_022276097.1,XP_022282649.1,XP_022282653.1,XP_539243.5	*	*	*
2	9	0.111	XP_011533995.1,XP_011533996.1,XP_016866152.1,XP_016866153.1,XP_016866154.1,XP_016866155.1,XP_016866156.1,XP_016866157.1	*	XP_019687081.2	*	*
2	9	0.11	NP_001229794.1,NP_001273605.1,NP_001273607.1,XP_006724061.1,XP_006724062.1,XP_006724063.1,XP_016883828.1,XP_016883829.1	*	*	*	XP_026897132.1
2	9	0.111	NP_001350676.1,XP_011526830.1,XP_011526831.1,XP_016883125.1,XP_016883126.1,XP_016883128.1,XP_024307592.1,XP_024307593.1	*	*	XP_015395185.1	*
2	8	0.121	NP_001355327.1,NP_001355328.1,NP_001355329.1,NP_001355330.1,NP_001355331.1,NP_055543.2,XP_016885474.1	XP_005641170.1	*	*	*
2	8	0.125	NP_001307620.1,NP_001339454.1,NP_001339455.1,NP_001339456.1,NP_001339457.1,NP_001339458.1,NP_001339459.1	XP_022267555.1	*	*	*
2	8	0.125	NP_001341579.1,NP_001341581.1,XP_016861982.1,XP_016861983.1,XP_016861984.1,XP_016861986.1,XP_016861988.1	*	*	*	XP_026898401.1
2	8	0.124	NP_001129515.1,NP_001193987.2,NP_001193988.2,NP_001353293.1,NP_001353294.1,XP_006720774.1,XP_011520403.1	XP_005638583.1	*	*	*
2	8	0.123	NP_001317548.1,XP_011532613.1,XP_011532614.1,XP_011532615.1,XP_011532616.1,XP_024309613.1,XP_024309614.1	XP_022262042.1	*	*	*
2	8	0.125	NP_001243751.1,XP_006722017.1,XP_006722018.1,XP_011523213.1,XP_011523214.1,XP_024306575.1,XP_024306576.1	XP_005624787.1	*	*	*
2	8	0.125	XP_011537525.1	*	*	*	XP_026919183.1,XP_026919184.1,XP_026919185.1,XP_026919186.1,XP_026919188.1,XP_026919189.1,XP_026919190.1
2	8	0.124	NP_001308861.1,NP_001308862.1,NP_001308865.1,NP_001308867.1,NP_001308869.1,NP_001308870.1,NP_001308873.1	XP_022263841.1	*	*	*
2	8	0.124	NP_001337106.1,XP_011538941.1,XP_011538943.1,XP_011538946.1,XP_016855756.1,XP_016855757.1,XP_016855758.1	XP_022276063.1	*	*	*
2	8	0.12	NP_001269682.1,NP_001338491.1,NP_001338492.1,XP_011517269.1,XP_016870563.1,XP_016870570.1,XP_016870572.1	XP_022276578.1	*	*	*
2	8	0.124	XP_024309780.1	XP_013965542.1,XP_022269182.1,XP_022269183.1,XP_022269184.1,XP_022269185.1,XP_022269186.1,XP_022269188.1	*	*	*
3	8	0.102	XP_011524727.1	*	XP_006940989.1,XP_011288024.1,XP_019674219.1,XP_019674220.1	*	XP_026893000.1,XP_026893001.1,XP_026893002.1
2	8	0.125	NP_001091082.2,NP_001337110.1,NP_001337111.1,XP_005277459.1,XP_011508210.1,XP_011508211.1,XP_016856937.1	*	*	*	XP_026907292.1
2	8	0.12	XP_011542769.1,XP_011542770.1,XP_011542771.1,XP_011542773.1,XP_011542775.1,XP_016868751.1,XP_016868752.1	*	*	*	XP_026927640.1
2	8	0.122	NP_001336226.1,NP_001336227.1,XP_006713619.1,XP_011510901.1,XP_011510902.1,XP_024309197.1,XP_024309198.1	XP_022270022.1	*	*	*
2	8	0.125	XP_006724035.1,XP_006724036.1,XP_016883763.1,XP_016883764.1,XP_016883765.1,XP_016883766.1,XP_016883767.1	*	XP_019694932.2	*	*
2	8	0.125	NP_898866.1,XP_011533480.1,XP_016876174.1,XP_016876175.1,XP_016876176.1,XP_024305159.1,XP_024305160.1	XP_022265338.1	*	*	*
2	8	0.123	XP_011514910.1,XP_016868188.1,XP_016868189.1,XP_016868190.1,XP_016868191.1,XP_016868192.1,XP_016868193.1	XP_022283297.1	*	*	*
2	8	0.125	NP_659485.1,XP_011512107.1,XP_016863236.1,XP_016863240.1,XP_016863241.1,XP_016863242.1,XP_024309662.1	XP_013968145.1	*	*	*
2	8	0.125	NP_001271348.1,NP_001271349.1,NP_689662.2,XP_011519543.1,XP_011519546.1,XP_016877416.1,XP_016877419.1	XP_013967859.1	*	*	*
